coin,rank,wallet,side,size,entry_price,leverage,leverage_type,unrealized_pnl,liquidation_price
BTC,1,0xd83516572789f1c782c8298efce58a5600318fd7,SHORT,1696.03551,90226.2,40,cross,3346705.482915,91428.3972535963
BTC,2,0xb317d2bc2d3d2df5fa441b5bae0ab9d8b07283ae,LONG,1000.0,91506.7,5,cross,-3253767.29312,
BTC,3,0x1b526ff54f9f66c777fd34b7a802bb8d216ed41b,SHORT,795.36102,92374.6,20,cross,3274201.044228,120420.2363917659
BTC,4,0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,LONG,668.28442,102348.6,40,cross,-9416589.671287,61104.4687723586
BTC,5,0x5d2f4460ac3514ada79f5d9838916e508ab39bb7,SHORT,499.90626,111499.3,20,cross,11620987.65763,106676.397717209
BTC,6,0x007d76eec0ba411ce873a8819df50dd443d967a0,SHORT,440.0,89399.3,40,cross,504379.794931,103065.5542987969
BTC,7,0x15271757b398cd1d3d7cca05c4f7b0c159afa7c2,LONG,428.92197,92177.7,7,cross,-1681261.73212,67729.7605075477
BTC,8,0x45d26f28196d226497130c4bac709d808fed4029,SHORT,418.0,101884.6,20,cross,5698024.88429,164347.6404543848
BTC,9,0x50b309f78e774a756a2230e1769729094cac9f20,LONG,379.62758,89318.8,20,cross,-402719.692275,76801.7898675848
BTC,10,0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,SHORT,372.78982,103993.9,20,cross,5866189.392476,138149.1506491867
ETH,1,0xb317d2bc2d3d2df5fa441b5bae0ab9d8b07283ae,LONG,223340.6489,3161.85,5,cross,-52229632.71397,2269.8870610836
ETH,2,0x9eec98d048d06d9cd75318fffa3f3960e081daab,LONG,57163.0111,3190.28,15,cross,-15009985.074356,2698.0926666297
ETH,3,0xd47587702a91731dc1089b5db0932cf820151a91,SHORT,34510.7458,3235.91,15,cross,10626386.68613,3923.1896736724
ETH,4,0xd83516572789f1c782c8298efce58a5600318fd7,SHORT,33915.1119,3026.83,25,cross,3351903.306529,3085.0312977706
ETH,5,0x0ddf9bae2af4b874b96d287a5ad42eb47138a902,SHORT,25000.0,2927.33,3,cross,-16718.87533,3992.5051987711
ETH,6,0xfb6678f8bb51215606b01ca1162afa005b28e4c2,LONG,20000.0,3047.31,9,cross,-2392279.68515,2734.9438879226
ETH,7,0x4196dc4a1dc7d3bfd5434adf04c829f4ccaf480d,SHORT,15200.1988,3045.8,20,cross,1790680.4167,3724.3726252774
ETH,8,0xa5b0edf6b55128e0ddae8e51ac538c3188401d41,LONG,15000.5593,2924.37,10,cross,54401.516223,1957.433214675
ETH,9,0x152e41f0b83e6cad4b5dc730c1d6279b7d67c9dc,SHORT,13302.9083,3128.86,20,cross,2672106.48626,4737.6469361305
ETH,10,0x218a65e21eddeece7a9df38c6bbdd89f692b7da2,SHORT,11346.5934,3020.71,10,cross,1052050.534409,3740.6320358574